username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,95700,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,84000,https://github.com/angular/angular
storybookjs,storybook,74000,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,51800,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48000,https://github.com/ionic-team/ionic-framework
prettier,prettier,43900,https://github.com/prettier/prettier
SheetJS,sheetjs,31300,https://github.com/SheetJS/sheetjs
angular,angular-cli,25600,https://github.com/angular/angular-cli
angular,components,23000,https://github.com/angular/components
NativeScript,NativeScript,21600,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19900,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,19100,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,18100,https://github.com/pubkey/rxdb
handsontable,handsontable,17100,https://github.com/handsontable/handsontable
teambit,bit,15800,https://github.com/teambit/bit
sweetalert2,sweetalert2,15000,https://github.com/sweetalert2/sweetalert2
nrwl,nx,14600,https://github.com/nrwl/nx
linnovate,mean,12200,https://github.com/linnovate/mean
sudheerj,javascript-interview-questions,12000,https://github.com/sudheerj/javascript-interview-questions
codesandbox,codesandbox-client,11900,https://github.com/codesandbox/codesandbox-client
