username,repo_name,stars,repo_url
jwasham,coding-interview-university,234000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,157000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,151000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,145000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,78700,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,58200,https://github.com/kdn251/interviews
azl397985856,leetcode,49400,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,47900,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,39100,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,31800,https://github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26800,https://github.com/crossoverJie/JCSprout
halfrost,LeetCode-Go,26600,https://github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,26200,https://github.com/donnemartin/interactive-coding-challenges
huihut,interview,25900,https://github.com/huihut/interview
TheAlgorithms,JavaScript,22200,https://github.com/TheAlgorithms/JavaScript
keon,algorithms,21600,https://github.com/keon/algorithms
TheAlgorithms,C-Plus-Plus,20900,https://github.com/TheAlgorithms/C-Plus-Plus
mxgmn,WaveFunctionCollapse,19900,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,19700,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,16300,https://github.com/AtsushiSakai/PythonRobotics
